,Date,Open,High,Low,Close,Adj Close,Volume,obv,ma6,ma10,rsi6,rsi10,macd,dif,atr10,atr20,bias6,bias10,tapi
0,2016-11-17,101.239998,102.849998,101.190002,102.559998,97.645622,1344700,1344700,,,,,,,0.0,0.0,,,13111.349709659708
1,2016-11-18,103.580002,104.75,103.379997,104.589996,99.578346,1914300,3259000,,,,,,,0.0,0.0,,,18302.897726470896
2,2016-11-21,104.089996,105.110001,104.019997,105.089996,100.05439,1408200,4667200,,,,,,,0.0,0.0,,,13399.943416117363
3,2016-11-22,105.449997,105.610001,104.800003,105.32,100.273384,876300,5543500,,,,,,,0.0,0.0,,,8320.357007216104
4,2016-11-23,104.480003,105.349998,104.25,105.099998,100.063911,432300,5111200,,,,,,,0.0,0.0,,,4113.225577796871
5,2016-11-25,103.989998,104.459999,103.769997,104.139999,99.149918,251900,4859300,104.4666645,,55.53623440186023,,,,0.0,0.0,-0.05444424999999834,,2418.859251189353
6,2016-11-28,103.300003,103.910004,103.220001,103.629997,98.664352,453200,4406100,104.64499766666667,,44.85945559545582,,,,0.0,0.0,-0.16916677777777758,,4373.251115697706
7,2016-11-29,102.879997,104.010002,102.709999,103.790001,98.816681,1194200,5600300,104.51166516666666,,48.58103550925997,,,,0.0,0.0,-0.12027736111110936,,11505.925315483906
8,2016-11-30,103.769997,103.82,102.93,103.129997,98.188309,434200,5166100,104.18499866666666,,36.41532530178427,,,,0.0,0.0,-0.17583361111110918,,4210.22023301329
9,2016-12-01,102.669998,102.739998,99.68,99.989998,95.198776,837900,4328200,103.296665,103.733998,14.987784560319255,21.906053351051867,,,1.4739996999999974,0.0,-0.5511111666666674,-0.37439999999999996,8379.838151411905
10,2016-12-02,99.010002,100.300003,98.839996,99.779999,94.99884,701100,3627100,102.40999849999999,103.45599810000002,14.311926948490253,21.115272593357957,,,1.472600429999998,0.0,-0.43833324999999707,-0.36759991000000125,7026.458278477233
11,2016-12-05,102.290001,103.019997,101.690002,102.919998,97.988373,818600,4445700,102.206665,103.2889983,52.6354151589155,50.68897743821345,,,1.6493401869999982,0.0,0.11888883333333429,-0.03690002999999962,7953.750640376032
12,2016-12-06,101.889999,102.900002,101.790001,102.709999,97.788429,399900,4045800,102.053332,103.0509986,50.811617563230286,49.3151309647089,,,1.5974058682999988,0.0,0.10944449999999979,-0.03409996000000035,3893.4865533393686
13,2016-12-07,101.980003,103.919998,101.830002,103.550003,98.588196,566600,4612400,102.01333233333332,102.87399890000002,57.82599048072645,54.76427005880528,,,1.64666488147,0.0,0.25611177777778,0.06760040999999858,5471.752617911561
14,2016-12-08,103.190002,103.730003,102.650002,103.110001,98.169273,478800,4133600,102.00999966666666,102.6749992,53.06910580371107,51.539347654642505,,,1.5899984933229996,0.0,0.18333355555555642,0.043500179999999486,4643.584476349681
15,2016-12-09,102.919998,103.110001,102.089996,102.660004,97.740837,362500,3771100,102.45500066666666,102.5269997,48.20271221103728,48.30681564245365,,,1.5329991439906994,0.0,0.034167222222222904,0.013300429999999608,3531.073308744465
16,2016-12-12,103.169998,103.339996,102.410004,102.900002,97.969337,308500,4079600,102.97500116666667,102.4540002,51.07404807867334,50.15925474341795,,,1.4726984295916292,0.0,-0.012499861111111935,0.044600180000000475,2998.0563071320444
17,2016-12-13,104.110001,104.860001,104.0,104.639999,99.625946,308400,4388000,103.261668,102.53900000000002,66.99276956371932,61.32403499335381,,,1.5214284866324659,0.0,0.22972183333333382,0.21009989999999873,2947.247734587612
18,2016-12-14,104.580002,104.940002,103.529999,103.629997,98.664352,390800,3997200,103.415001,102.58900000000001,54.61515276284298,53.5826126371181,,,1.5102859379692197,0.0,0.03583266666666655,0.10409969999999902,3771.108861462188
19,2016-12-15,104.470001,105.389999,104.32,105.029999,99.997276,655400,4652600,103.66166699999998,103.0930001,65.2841682220529,61.13832574852619,,,1.5352575441722978,1.5409998499999993,0.22805533333333727,0.1936998900000006,6240.121929354678
