,Date,Adj Close,Volume,rsi6,macd,daily_trend
0,2016-11-17,97.645622,1344700,,,1.0
1,2016-11-18,99.578346,1914300,,,1.0
2,2016-11-21,100.05439,1408200,,,1.0
3,2016-11-22,100.273384,876300,,,-1.0
4,2016-11-23,100.063911,432300,,,-1.0
5,2016-11-25,99.149918,251900,55.53623440186023,,-1.0
6,2016-11-28,98.664352,453200,44.85945559545582,,1.0
7,2016-11-29,98.816681,1194200,48.58103550925997,,-1.0
8,2016-11-30,98.188309,434200,36.41532530178427,,-1.0
9,2016-12-01,95.198776,837900,14.987784560319255,,-1.0
10,2016-12-02,94.99884,701100,14.311926948490251,,1.0
11,2016-12-05,97.988373,818600,52.6354151589155,,-1.0
12,2016-12-06,97.788429,399900,50.811617563230286,,1.0
13,2016-12-07,98.588196,566600,57.82599048072645,,-1.0
14,2016-12-08,98.169273,478800,53.06910580371107,,-1.0
15,2016-12-09,97.740837,362500,48.20271221103728,,1.0
16,2016-12-12,97.969337,308500,51.07404807867334,,1.0
17,2016-12-13,99.625946,308400,66.99276956371932,,-1.0
18,2016-12-14,98.664352,390800,54.61515276284298,,1.0
19,2016-12-15,99.997276,655400,65.2841682220529,,1.0
20,2016-12-16,101.149292,865800,72.08911427221533,,1.0
21,2016-12-19,104.938576,1709400,84.2640979695254,,-1.0
22,2016-12-20,104.453018,810500,78.96731855871022,,1.0
23,2016-12-21,104.776718,659500,79.97436389809559,,-1.0
24,2016-12-22,104.710083,324200,79.03940333498036,,1.0
25,2016-12-23,105.424133,183900,81.77830116526067,1.878187514455135,1.0
26,2016-12-27,106.166779,308500,84.33316363551192,2.0621901410474663,-1.0
27,2016-12-28,105.471748,509900,72.86008019004134,2.124617143180515,1.0
28,2016-12-29,105.833542,754900,74.98583730835907,2.1796288155846923,1.0
29,2016-12-30,106.8237,858700,80.10380426795743,2.280852458458796,-1.0
30,2017-01-03,105.157555,874700,56.68485421661965,2.1945649711555006,-1.0
31,2017-01-04,104.652954,846200,51.24050553473488,2.059672404508717,1.0
32,2017-01-05,105.909706,493800,62.11533540428538,2.0358144402753737,-1.0
33,2017-01-06,105.795464,360200,60.63999280276583,1.9843498877817185,1.0
34,2017-01-09,107.099808,554800,70.30352718000917,2.0307023336880405,1.0
35,2017-01-10,107.252144,816100,71.29136681395488,2.056640297475738,1.0
