Date,Close,Adj Close,Volume,obv,ma6,ma10,rsi6,rsi10,macd,dif,atr10,atr20,bias6,bias10,tapi,year,month,day,direction
2011-01-20,38.57,27.55364,7719700,269900,38.57666666666667,37.6740003,53.83717138403065,54.2784054614547,0.4764367784673951,0.1185282080664432,1.3665686007909312,1.1017786988141178,-0.0011111111111112848,0.08959997000000045,200147.78325123157,2011,1,20,1
2011-01-21,38.950001,27.825105999999998,2598400,2868300,38.82166683333333,37.937000399999995,56.41088075092343,56.10715825936224,0.5140932487853362,0.12494774270750753,1.3089118407118376,1.0861898138734118,0.02138902777777811,0.1013000599999998,66711.16645157468,2011,1,21,1
2011-01-24,39.700001,28.360889,4145300,7013600,39.2233335,38.276000399999994,61.495271566877506,59.646697512231256,0.5975666286779031,0.16673689808005954,1.316020756640654,1.1008803731797412,0.07944458333333297,0.14240005999999994,104415.61449834725,2011,1,24,1
2011-01-25,41.040001000000004,29.318165000000004,7593700,14607300,39.25833333333333,38.7900003,69.19828295187813,65.21525694292527,0.7630507111729088,0.2657767844600521,1.3394185809765884,1.1233363045207543,0.29694461111111065,0.2250000700000001,185031.6719046864,2011,1,25,1
2011-01-26,41.860001000000004,29.903955,5097300,19704600,39.55166716666667,39.30100039999999,73.14362109032723,68.19906077631721,0.9494208531712972,0.3617175411667524,1.3314765228789298,1.1301693892947164,0.3847223055555548,0.25590005999999976,121770.18342641705,2011,1,26,1
2011-01-27,42.880001,30.632621999999998,4134600,23839200,40.50000083333333,39.84100049999999,77.45425765653336,71.56966149064702,1.1659852566951443,0.4626255557524797,1.3193287705910373,1.1341608698299808,0.3966666944444448,0.30390005000000075,96422.57237820492,2011,1,27,1
2011-01-28,42.080002,30.061119,5064400,18774800,41.085001166666665,40.3200006,67.2892002012386,65.51799835183273,1.2585530571004997,0.4441546849262679,1.3563960935319337,1.1619529263384818,0.16583347222222264,0.17600014000000005,120351.70530647787,2011,1,28,-1
2011-01-31,42.009997999999996,30.011101,3926500,14848300,41.59500066666667,40.438000200000005,66.37449649351463,64.98375211904809,1.3111508373941376,0.3974019721759248,1.3177565841787406,1.152355330021558,0.06916622222222203,0.15719978000000054,93465.84591601264,2011,1,31,-1
2011-02-01,43.950001,31.397009000000004,8027300,22875600,42.303334,40.8230005,76.84289305185783,72.01125857839763,1.4921761087080228,0.4627417947918477,1.4509811257608658,1.2272376635204796,0.2744445000000001,0.3127000500000001,182646.18469519488,2011,2,1,1
2011-02-02,43.560001,31.118392999999998,4192300,18683300,42.723334,41.4600007,71.47494101155418,68.92162586064813,1.5858890579287888,0.4451637952100911,1.3958831131847795,1.2108758303444558,0.13944449999999975,0.21000002999999975,96241.96289619002,2011,2,2,-1
2011-02-03,43.099998,30.789785,3217200,15466100,42.930000166666666,41.9130005,65.04379870097964,65.25254361279596,1.6045426784529866,0.3710539325874311,1.3682950018663016,1.2063321388272328,0.02833297222222224,0.11869974999999967,74645.01506473387,2011,2,3,-1
2011-02-04,43.43,31.02553,2814800,18280900,43.02166666666667,42.361000399999995,67.55681309854165,66.66700054045572,1.6271968976277549,0.31496652140975945,1.3204655016796714,1.1905155318858711,0.06805555555555524,0.1068999599999998,64812.34169928621,2011,2,4,1
2011-02-07,43.84,31.318426000000002,2224500,20505400,43.31499966666666,42.775000299999995,70.69749547561976,68.44046341477356,1.6591089280623734,0.2775028414755023,1.2764190515117042,1.174989805291578,0.08750005555555636,0.10649997000000014,50741.33211678832,2011,2,7,1
2011-02-08,43.330002,30.954086,2426100,18079300,43.53500033333333,43.004000399999995,61.771538491982994,63.75247165373236,1.6245204057184142,0.1943314553052342,1.215777346360534,1.1497404150269992,-0.03416638888888812,0.03260015999999979,55991.22751021336,2011,2,8,-1
2011-02-09,43.040001000000004,30.746920000000003,3851700,14227600,43.38333366666666,43.12200040000001,56.87193397535285,61.10787413155834,1.555774100113105,0.10046811975993997,1.1371996117244814,1.1137533942756497,-0.05722211111111145,-0.008199940000000794,89491.1689244617,2011,2,9,-1
2011-02-10,42.880001,30.632621999999998,1983800,12243800,43.27000033333334,43.12200040000001,54.0343776236793,59.59245823583861,1.471419882329876,0.012891121581368514,1.119479550552033,1.1060656745618669,-0.06499988888888926,-0.024199940000000454,46263.99145839572,2011,2,10,-1
2011-02-11,43.540001000000004,31.104107,2035100,14278900,43.34333416666666,43.2680003,63.138274970911525,63.7165189745571,1.441211650364906,-0.013853688306881162,1.0815313954968295,1.0877622908337738,0.03277780555555528,0.027200069999999955,46740.92680889007,2011,2,11,1
2011-02-14,44.330002,31.668470000000003,2011600,16290500,43.493334499999996,43.5000007,71.30232813633813,68.0529687875178,1.4641401905591283,0.0072598815098727796,1.0783781559471466,1.0858741262920852,0.13944458333333287,0.08300012999999992,45377.84591121832,2011,2,14,1
2011-02-15,43.459998999999996,31.046965000000004,2618000,13672500,43.430001,43.4510005,55.15819960929734,59.37043976615993,1.3960168395368273,-0.048690775609942616,1.0835404403524318,1.0880804699774809,0.004999666666666514,0.0008998500000004129,60239.3018922987,2011,2,15,-1
2011-02-16,44.599998,31.861351000000003,2027200,15699700,43.64166700000001,43.5550002,66.93134272274878,65.73528072898222,1.4176749110773414,-0.021626163255542563,1.090186596317188,1.0911765464786067,0.15972183333333234,0.10449977999999974,45452.916836453674,2011,2,16,1
2011-02-17,44.82,32.018513,1787600,17487300,43.9383335,43.7270004,68.82671842603837,66.84886598713098,1.436037663297661,-0.002610728828178477,1.0641677366854692,1.0781176191546762,0.1469444166666669,0.1092999600000006,39883.98036590808,2011,2,17,1
2011-02-18,45.07,32.197113,2332900,19820200,44.30333333333334,43.891000399999996,71.08653656873797,68.15557988488807,1.4540023533472208,0.01228316897710502,1.0607508630169218,1.0757116881969422,0.12777777777777766,0.11789995999999972,51761.70401597515,2011,2,18,1
2011-02-22,43.41,31.011238,4220900,15599300,44.2816665,43.8480004,45.05942630070335,52.800674041878956,1.3190857731484795,-0.09810672897730877,1.1246758767152296,1.1069261537870951,-0.14527775000000054,-0.04380004000000071,97233.35636950012,2011,2,22,-1
2011-02-23,42.900002,30.646912,2238000,13361300,44.04333316666666,43.8050004,39.70051718048293,49.029947449854,1.1576659821306805,-0.2076212159960864,1.129208489043707,1.1100799460977406,-0.19055519444444374,-0.09049983999999966,52167.82973576551,2011,2,23,-1
2011-02-24,43.130001,30.811213000000002,2146000,15507300,43.9883335,43.8140004,43.346827998296305,50.790893387124655,1.03635220874488,-0.2631479915055097,1.099287440139336,1.0960758487928532,-0.14305541666666718,-0.06839993999999976,49756.54881158013,2011,2,24,1
2011-02-25,43.529999,31.096971999999997,1408000,16915300,43.81000033333334,43.87900020000001,49.695203580317404,53.870525312769544,0.9614041958785721,-0.2704768034974543,1.0463586961254023,1.0697720563532107,-0.0466668888888897,-0.034900120000000354,32345.509587537555,2011,2,25,1
2011-02-28,43.599998,31.146973,1825400,18740700,43.60666666666666,43.884999900000004,50.85174644526509,54.42511327297447,0.8973120354177482,-0.26765517116662263,1.054722926512862,1.0727835035355502,-0.0011114444444437763,-0.02850018999999975,41866.97439756763,2011,2,28,1
2011-03-01,43.290001000000004,30.925514,1925000,16815700,43.31000016666667,43.7809998,45.315152368734616,51.38525332218625,0.8121424961915409,-0.28225976831426397,1.0622507338615759,1.0756443783587728,-0.0033331944444453163,-0.049099880000000685,44467.5434403432,2011,3,1,-1
2011-03-02,44.200001,31.575602000000003,2000000,18815700,43.441667,43.855,60.47447019269662,58.87696106625693,0.8087516321688284,-0.2285205058695812,1.0720256604754188,1.0798621594408344,0.12638900000000086,0.03450009999999963,45248.867754550505,2011,3,2,1
2011-03-03,45.82,32.732895,1700500,20516200,43.92833333333334,43.977000200000006,75.17550008323578,68.48374885196446,0.9261091189639146,-0.088930415259596,1.1368227944278768,1.1118689014687928,0.3152777777777776,0.1842999800000001,37112.614578786546,2011,3,3,1
