Date,Open,High,Low,Close,Adj Close,Volume
2016-11-17,101.239998,102.849998,101.190002,102.559998,97.645622,1344700
2016-11-18,103.580002,104.750000,103.379997,104.589996,99.578346,1914300
2016-11-21,104.089996,105.110001,104.019997,105.089996,100.054390,1408200
2016-11-22,105.449997,105.610001,104.800003,105.320000,100.273384,876300
2016-11-23,104.480003,105.349998,104.250000,105.099998,100.063911,432300
2016-11-25,103.989998,104.459999,103.769997,104.139999,99.149918,251900
2016-11-28,103.300003,103.910004,103.220001,103.629997,98.664352,453200
2016-11-29,102.879997,104.010002,102.709999,103.790001,98.816681,1194200
2016-11-30,103.769997,103.820000,102.930000,103.129997,98.188309,434200
2016-12-01,102.669998,102.739998,99.680000,99.989998,95.198776,837900
2016-12-02,99.010002,100.300003,98.839996,99.779999,94.998840,701100
2016-12-05,102.290001,103.019997,101.690002,102.919998,97.988373,818600
2016-12-06,101.889999,102.900002,101.790001,102.709999,97.788429,399900
2016-12-07,101.980003,103.919998,101.830002,103.550003,98.588196,566600
2016-12-08,103.190002,103.730003,102.650002,103.110001,98.169273,478800
2016-12-09,102.919998,103.110001,102.089996,102.660004,97.740837,362500
2016-12-12,103.169998,103.339996,102.410004,102.900002,97.969337,308500
2016-12-13,104.110001,104.860001,104.000000,104.639999,99.625946,308400
2016-12-14,104.580002,104.940002,103.529999,103.629997,98.664352,390800
2016-12-15,104.470001,105.389999,104.320000,105.029999,99.997276,655400
2016-12-16,106.260002,106.720001,105.959999,106.239998,101.149292,865800
2016-12-19,108.360001,110.480003,108.360001,110.220001,104.938576,1709400
2016-12-20,109.370003,109.800003,109.110001,109.709999,104.453018,810500
2016-12-21,110.029999,110.300003,109.720001,110.050003,104.776718,659500
2016-12-22,110.360001,110.419998,109.769997,109.980003,104.710083,324200
2016-12-23,110.419998,110.849998,110.269997,110.730003,105.424133,183900
2016-12-27,110.790001,111.620003,110.790001,111.510002,106.166779,308500
2016-12-28,110.809998,111.309998,110.430000,110.779999,105.471748,509900
2016-12-29,110.970001,111.370003,110.699997,111.160004,105.833542,754900
2016-12-30,112.059998,112.660004,111.269997,112.199997,106.823700,858700
2017-01-03,110.980003,111.279999,110.150002,110.449997,105.157555,874700
2017-01-04,109.839996,110.349998,109.620003,109.919998,104.652954,846200
2017-01-05,110.800003,111.900002,110.750000,111.239998,105.909706,493800
2017-01-06,110.559998,111.589996,110.300003,111.120003,105.795464,360200
2017-01-09,111.019997,112.730003,111.010002,112.489998,107.099808,554800
2017-01-10,112.580002,113.129997,112.580002,112.650002,107.252144,816100
2017-01-11,112.250000,113.510002,112.190002,113.480003,108.042381,419900
2017-01-12,113.940002,114.820000,113.000000,114.769997,109.270569,713900
2017-01-13,114.769997,115.540001,114.750000,115.300003,109.775169,1474200
2017-01-17,115.629997,116.320000,114.889999,115.910004,110.355942,1381400
2017-01-18,122.070000,125.879997,121.940002,122.970001,117.077637,4392000
2017-01-19,120.860001,121.989998,120.459999,121.860001,116.020836,1936700
2017-01-20,121.519997,122.309998,121.519997,122.050003,116.201729,786900
2017-01-23,121.970001,122.320000,120.599998,122.169998,116.315971,1570600
2017-01-24,122.279999,123.000000,122.070000,122.550003,116.677773,975100
2017-01-25,122.510002,122.970001,122.269997,122.779999,116.896744,649500
2017-01-26,121.300003,122.160004,121.070000,121.129997,115.325806,611200
2017-01-27,121.440002,122.080002,121.040001,121.769997,115.935143,663500
2017-01-30,120.910004,121.860001,120.019997,121.709999,115.878021,1161000
2017-01-31,121.639999,122.000000,120.989998,121.400002,115.582870,1435700
2017-02-01,121.650002,122.110001,121.000000,121.309998,115.497185,1324600
2017-02-02,123.089996,123.190002,122.290001,122.739998,116.858665,632800
2017-02-03,122.910004,123.570000,122.870003,123.010002,117.115730,358300
2017-02-06,122.239998,122.629997,121.870003,122.230003,116.373108,260700
2017-02-07,122.029999,123.570000,121.870003,123.260002,117.353752,1117200
2017-02-08,123.410004,124.260002,122.989998,124.089996,118.143967,853100
2017-02-09,124.410004,125.550003,124.320000,124.519997,118.553360,820400
2017-02-10,124.800003,125.250000,124.150002,124.849998,118.867561,791500
2017-02-13,126.139999,126.639999,125.750000,126.500000,120.438499,1052600
2017-02-14,126.080002,126.500000,125.620003,126.250000,120.200478,1825300
2017-02-15,125.449997,127.279999,125.300003,127.260002,121.162071,900800
2017-02-16,126.550003,127.440002,126.480003,127.269997,121.171600,1023500
2017-02-17,125.839996,126.879997,125.820000,126.879997,120.800285,808100
2017-02-21,125.279999,127.599998,125.250000,127.589996,121.476257,3895800
2017-02-22,125.099998,125.510002,123.580002,123.830002,117.896439,2312100
2017-02-23,124.529999,124.620003,123.250000,123.779999,117.848839,764500
2017-02-24,122.290001,122.949997,121.639999,122.529999,116.658730,1442500
2017-02-27,122.290001,123.019997,122.080002,122.900002,117.011002,736500
2017-02-28,121.500000,122.220001,121.410004,121.690002,115.858986,1033500
2017-03-01,122.500000,123.919998,122.430000,123.470001,117.553680,1274400
2017-03-02,121.779999,122.550003,121.480003,121.570000,115.744713,961800
2017-03-03,122.760002,122.989998,121.830002,122.980003,117.087166,783800
2017-03-06,121.250000,121.910004,120.779999,121.599998,115.773293,495300
2017-03-07,121.250000,121.389999,119.830002,119.980003,114.230911,1234500
2017-03-08,120.820000,121.169998,120.339996,120.750000,114.964012,575800
2017-03-09,121.180000,121.540001,120.660004,121.250000,115.440056,405700
2017-03-10,124.470001,125.110001,123.940002,125.000000,119.010384,1016100
2017-03-13,123.559998,124.459999,123.430000,124.190002,118.239189,838100
2017-03-14,124.769997,124.830002,123.860001,123.989998,118.048759,412900
2017-03-15,124.849998,126.309998,124.580002,126.070000,120.029099,838900
2017-03-16,124.889999,126.250000,124.809998,126.190002,120.143341,424200
2017-03-17,127.190002,128.429993,126.930000,127.900002,121.771416,1030300
2017-03-20,128.839996,129.160004,127.980003,128.270004,122.123680,577600
2017-03-21,129.690002,129.820007,126.150002,126.320000,120.267120,1398800
2017-03-22,127.070000,129.240005,127.010002,128.919998,122.742538,529900
2017-03-23,129.199997,129.699997,128.800003,129.220001,123.028160,266000
2017-03-24,133.279999,133.550003,131.960007,132.240005,125.903442,1709800
2017-03-27,132.779999,133.199997,132.360001,132.699997,126.341385,2238000
2017-03-28,133.369995,134.289993,133.119995,133.789993,127.379173,1370300
2017-03-29,133.160004,133.460007,132.539993,132.910004,126.541328,358300
2017-03-30,132.380005,133.190002,132.339996,132.630005,126.274780,361100
2017-03-31,132.270004,133.190002,132.119995,132.800003,126.436630,535400
2017-04-03,132.350006,132.750000,131.179993,132.179993,125.846313,564100
2017-04-04,132.300003,132.779999,131.850006,132.740005,126.379509,584000
